Player,Base Price,Type,Cost IN â‚¹ (CR.),Cost IN $ (K),2023 Squad,Team
Johnson Charles,5000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Ben Duckett,20000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Varun Aaron,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Fareed Ahmad,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Taskin Ahmed,7500000,Bowler,0.0,0.0,Uncapped,Unsold
Dushmanta Chameera,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Ben Dwarshuis,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Richard Gleeson,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Matt Henry,7500000,Bowler,0.0,0.0,Uncapped,Unsold
Md Shoriful Islam,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Kyle Jamieson,10000000,Bowler,0.0,0.0,CSK,Unsold
Chris Jordan,15000000,Bowler,0.0,0.0,MI,Unsold
Siddharth Kaul,5000000,Bowler,0.0,0.0,RCB,Unsold
Lahiru Kumara,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Obed Mccoy,5000000,Bowler,0.0,0.0,RR,Unsold
Riley Meredith,10000000,Bowler,0.0,0.0,MI,Unsold
Tymal Mills,15000000,Bowler,0.0,0.0,Uncapped,Unsold
Adam Milne,10000000,Bowler,0.0,0.0,CSK,Unsold
Lance Morris,7500000,Bowler,0.0,0.0,Uncapped,Unsold
Blessing Muzarabani,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Richard Ngarava,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Wayne Parnell,10000000,Bowler,0.0,0.0,RCB,Unsold
Ollie Robinson,7500000,Bowler,0.0,0.0,Uncapped,Unsold
George Scrimshaw,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Tim Southee,15000000,Bowler,0.0,0.0,KKR,Unsold
Barinder Sran,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Billy Stanlake,7500000,Bowler,0.0,0.0,Uncapped,Unsold
Olly Stone,7500000,Bowler,0.0,0.0,Uncapped,Unsold
Oshane Thomas,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Sandeep Warrier,5000000,Bowler,0.0,0.0,MI,Unsold
Lizaad Williams,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Luke Wood,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Dinesh Bana,2000000,Batter,0.0,0.0,Uncapped,Unsold
Rajat Dey,2000000,Batter,0.0,0.0,Uncapped,Unsold
Abhimanyu Easwaran,2000000,Batter,0.0,0.0,Uncapped,Unsold
Rithik Easwaran,2000000,Batter,0.0,0.0,Uncapped,Unsold
Chirag Gandhi,2000000,Batter,0.0,0.0,Uncapped,Unsold
Nikhil Gangta,2000000,Batter,0.0,0.0,Uncapped,Unsold
Sudip Gharami,2000000,Batter,0.0,0.0,Uncapped,Unsold
Ansh Gosai,2000000,Batter,0.0,0.0,Uncapped,Unsold
Azim Kazi,2000000,Batter,0.0,0.0,Uncapped,Unsold
Amandeep Khare,2000000,Batter,0.0,0.0,Uncapped,Unsold
Ankit Kumar,2000000,Batter,0.0,0.0,Uncapped,Unsold
Bhupen Lalwani,2000000,Batter,0.0,0.0,Uncapped,Unsold
Pukhraj Mann,2000000,Batter,0.0,0.0,Uncapped,Unsold
Tanmay Mishra,2000000,Batter,0.0,0.0,Uncapped,Unsold
Salman Nizar,2000000,Batter,0.0,0.0,Uncapped,Unsold
Priyank Panchal,2000000,Batter,0.0,0.0,Uncapped,Unsold
Akshat Raghuwanshi,2000000,Batter,0.0,0.0,Uncapped,Unsold
Ekant Sen,2000000,Batter,0.0,0.0,Uncapped,Unsold
Subhranshu Senapati,2000000,Batter,0.0,0.0,CSK,Unsold
Naushad Shaikh,2000000,Batter,0.0,0.0,Uncapped,Unsold
Dhruv Shorey,2000000,Batter,0.0,0.0,Uncapped,Unsold
Himmat Singh,2000000,Batter,0.0,0.0,Uncapped,Unsold
Virat Singh,2000000,Batter,0.0,0.0,Uncapped,Unsold
Shashank Singh,2000000,Batter,0.0,0.0,Uncapped,Unsold
Sumeet Verma,2000000,Batter,0.0,0.0,Uncapped,Unsold
P.A. Abdul,2000000,All-Rounder,0.0,0.0,RR,Unsold
Murugan Abhishek,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Atharva Ankolekar,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Baba Aparajith,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Jass Inder Baidwan,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Corbin Bosch,3000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Rahul Buddhi,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Vaisakh Chandran,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Writtick Chatterjee,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Raj Chaudhary,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Ravi Chauhan,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Ashwin Das,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Aarya Desai,2000000,All-Rounder,0.0,0.0,KKR,Unsold
Vineet Dhankhar,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Harsh Dubey,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Prerit Dutta,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Jake Fraser-Mcgurk,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Shubhang Hegde,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Benny Howell,4000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Saransh Jain,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Duan Jansen,2000000,All-Rounder,0.0,0.0,MI,Unsold
Mohammad Kaif,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Aman Khan,2000000,All-Rounder,0.0,0.0,DC,Unsold
Mohd Arslan Khan,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Musheer Khan,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Tanush Kotian,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Manvanth Kumar,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Saurabh Kumar,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Dev Lakra,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Nasir Lone,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Kaushik Maity,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Divij Mehra,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Mani Sankar Mura Singh,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Kamlesh Nagarkoti,3000000,All-Rounder,0.0,0.0,DC,Unsold
Sanjay Pahal,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Jitender Pal,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Saumy Pandey,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Ansh Patel,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Sairaj Patil,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Pradosh Paul,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Shubham Singh Pundir,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Atal Rai,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Abhimanyusingh Rajput,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Mohit Rathee,2000000,All-Rounder,0.0,0.0,PBKS,Unsold
Ninad Rathva,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Rohit Rayudu,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Aniketh Reddy,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Mohit Redkar,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Jalaj Saxena,4000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Akash Sengupta,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Suryansh Shedge,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Aradhya Shukla,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Utkarsh Singh,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Prenelan Subrayen,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Ravi Teja,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Akash Vashisht,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
David Wiese,10000000,All-Rounder,0.0,0.0,KKR,Unsold
Mohit Ahlawat,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
G. Ajitesh,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
L.R. Chethan,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Gourav Choudhary,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Harvik Desai,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Shakir Gandhi,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Sumit Ghadigaonkar,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Baba Indrajith,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Bhagmender Lather,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Anmol Malhotra,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Darshan Misal,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Nikhil Naik,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Prasad Pawar,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Mahesh Pithiya,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
William Salzmann,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Bipin Saurabh,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
B.R. Sharath,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
K.L. Shrijith,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Avneesh Sudha,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Aditya Tare,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Nihal Ullal,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
K.M Asif,2000000,Bowler,0.0,0.0,RR,Unsold
Mohit Avasthi,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Ottneil Baartman,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Basit Bashir,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Waseem Bashir,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Sachin Bhosale,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Devendra Singh Bora,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Gurnoor Singh Brar,2000000,Bowler,0.0,0.0,PBKS,Unsold
Saurabh Dubey,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Mrinmoy Dutta,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Vishal Godara,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Money Grewal,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Arpit Guleria,2000000,Bowler,0.0,0.0,LSG,Unsold
Mukhtar Hussain,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Shamar Joseph,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Mohammed Kaif,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Shubham Kapse,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Devang Karamta,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Kulwant Khejroliya,2000000,Bowler,0.0,0.0,KKR,Unsold
Ravi Kumar,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Ashwani Kumar,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Raj Limbani,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Kwena Maphaka,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Lukman Hussain Meriwala,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Venkatesh Muralidhara,2000000,Bowler,0.0,0.0,Uncapped,Unsold
William O'Rourke,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Rakshan Readdi,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Manish Reddy,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Monish Reddy,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Akhin Sathar,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Divesh Sharma,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Ashok Sharma,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Abhilash Shetty,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Rahul Shukla,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Manit Singh,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Gurjapneet Singh,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Basil Thampi,3000000,Bowler,0.0,0.0,Uncapped,Unsold
Paul Van Meekeren,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Nitin Verma,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Chris Wood,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Gourav Yadav,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Lalit Yadav,3000000,Bowler,0.0,0.0,Uncapped,Unsold
Prithvi Raj Yarra,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Mujtaba Yousuf,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Shubham Agrawal,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Mustaq Beg,2000000,Bowler,0.0,0.0,Uncapped,Unsold
K.C Cariappa,2000000,Bowler,0.0,0.0,RR,Unsold
Ganesh Chaudhary,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Yuvraj Chudasama,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Jasmer Dhankhar,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Chintal Gandhi,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Allah Ghazanfar,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Raghav Goyal,2000000,Bowler,0.0,0.0,MI,Unsold
Shreyas Gurav,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Vishu Kashyap,2000000,Bowler,0.0,0.0,Uncapped,Unsold
S Midhun,3000000,Bowler,0.0,0.0,Uncapped,Unsold
Izharulhuq Naveed,3000000,Bowler,0.0,0.0,Uncapped,Unsold
Bhuwan Rohilla,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Shivam Sharma,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Digvesh Singh,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Jagadeesha Suchith,2000000,Bowler,0.0,0.0,Uncapped,Unsold
B. Surya,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Pankaj Yadav,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Rohit Sharma,Retained,Nan,0.0,0.0,Uncapped,Unsold
Dewald Brevis,Retained,Nan,0.0,0.0,Uncapped,Unsold
Suryakumar Yadav,Retained,Nan,0.0,0.0,Uncapped,Unsold
Ishan Kishan,Retained,Nan,0.0,0.0,Uncapped,Unsold
Tilak Varma,Retained,Nan,0.0,0.0,Uncapped,Unsold
Tim David,Retained,Nan,0.0,0.0,Uncapped,Unsold
Vishnu Vinod,Retained,Nan,0.0,0.0,Uncapped,Unsold
Arjun Tendulkar,Retained,Nan,0.0,0.0,Uncapped,Unsold
Shams Mulani,Retained,Nan,0.0,0.0,Uncapped,Unsold
Nehal Wadhera,Retained,Nan,0.0,0.0,Uncapped,Unsold
Jasprit Bumrah,Retained,Nan,0.0,0.0,Uncapped,Unsold
Kumar Kartikeya,Retained,Nan,0.0,0.0,Uncapped,Unsold
Piyush Chawla,Retained,Nan,0.0,0.0,Uncapped,Unsold
Akash Madhwal,Retained,Nan,0.0,0.0,Uncapped,Unsold
Jason Behrendorff,Retained,Nan,0.0,0.0,Uncapped,Unsold
Faf du Plessis,Retained,Nan,0.0,0.0,Uncapped,Unsold
Glenn Maxwell,Retained,Nan,0.0,0.0,Uncapped,Unsold
Virat Kohli,Retained,Nan,0.0,0.0,Uncapped,Unsold
Rajat Patidar,Retained,Nan,0.0,0.0,Uncapped,Unsold
Anuj Rawat,Retained,Nan,0.0,0.0,Uncapped,Unsold
Dinesh Karthik,Retained,Nan,0.0,0.0,Uncapped,Unsold
Suyash Prabhudessai,Retained,Nan,0.0,0.0,Uncapped,Unsold
Will Jacks,Retained,Nan,0.0,0.0,Uncapped,Unsold
Mahipal Lomror,Retained,Nan,0.0,0.0,Uncapped,Unsold
Karn Sharma,Retained,Nan,0.0,0.0,Uncapped,Unsold
Manoj Bhandage,Retained,Nan,0.0,0.0,Uncapped,Unsold
Vyshak Vijaykumar,Retained,Nan,0.0,0.0,Uncapped,Unsold
Akash Deep,Retained,Nan,0.0,0.0,Uncapped,Unsold
Mohammed Siraj,Retained,Nan,0.0,0.0,Uncapped,Unsold
Reece Topley,Retained,Nan,0.0,0.0,Uncapped,Unsold
Himanshu Sharma,Retained,Nan,0.0,0.0,Uncapped,Unsold
Rajan Kumar,Retained,Nan,0.0,0.0,Uncapped,Unsold
David Miller,Retained,Nan,0.0,0.0,Uncapped,Unsold
Shubman Gill,Retained,Nan,0.0,0.0,Uncapped,Unsold
Matthew Wade,Retained,Nan,0.0,0.0,Uncapped,Unsold
Wriddhiman Saha,Retained,Nan,0.0,0.0,Uncapped,Unsold
Kane Williamson,Retained,Nan,0.0,0.0,Uncapped,Unsold
Abhinav Manohar,Retained,Nan,0.0,0.0,Uncapped,Unsold
B. Sai Sudharsan,Retained,Nan,0.0,0.0,Uncapped,Unsold
Darshan Nalkande,Retained,Nan,0.0,0.0,Uncapped,Unsold
Vijay Shankar,Retained,Nan,0.0,0.0,Uncapped,Unsold
Jayant Yadav,Retained,Nan,0.0,0.0,Uncapped,Unsold
Rahul Tewatia,Retained,Nan,0.0,0.0,Uncapped,Unsold
Mohammed Shami,Retained,Nan,0.0,0.0,Uncapped,Unsold
Noor Ahmad,Retained,Nan,0.0,0.0,Uncapped,Unsold
R. Sai Kishore,Retained,Nan,0.0,0.0,Uncapped,Unsold
Rashid Khan,Retained,Nan,0.0,0.0,Uncapped,Unsold
Joshua Little,Retained,Nan,0.0,0.0,Uncapped,Unsold
Mohit Sharma,Retained,Nan,0.0,0.0,Uncapped,Unsold
KL Rahul,Retained,Nan,0.0,0.0,Uncapped,Unsold
Quinton de Kock,Retained,Nan,0.0,0.0,Uncapped,Unsold
Nicholas Pooran,Retained,Nan,0.0,0.0,Uncapped,Unsold
Ayush Badoni,Retained,Nan,0.0,0.0,Uncapped,Unsold
Kyle Mayers,Retained,Nan,0.0,0.0,Uncapped,Unsold
Marcus Stoinis,Retained,Nan,0.0,0.0,Uncapped,Unsold
Deepak Hooda,Retained,Nan,0.0,0.0,Uncapped,Unsold
Ravi Bishnoi,Retained,Nan,0.0,0.0,Uncapped,Unsold
Naveen-ul-Haq,Retained,Nan,0.0,0.0,Uncapped,Unsold
Krunal Pandya,Retained,Nan,0.0,0.0,Uncapped,Unsold
Yudhvir Singh,Retained,Nan,0.0,0.0,Uncapped,Unsold
Prerak Mankad,Retained,Nan,0.0,0.0,Uncapped,Unsold
Yash Thakur,Retained,Nan,0.0,0.0,Uncapped,Unsold
Amit Mishra,Retained,Nan,0.0,0.0,Uncapped,Unsold
Mark Wood,Retained,Nan,0.0,0.0,Uncapped,Unsold
Mayank Yadav,Retained,Nan,0.0,0.0,Uncapped,Unsold
Mohsin Khan,Retained,Nan,0.0,0.0,Uncapped,Unsold
Abdul Samad,Retained,Nan,0.0,0.0,Uncapped,Unsold
Aiden Markram,Retained,Nan,0.0,0.0,Uncapped,Unsold
Rahul Tripathi,Retained,Nan,0.0,0.0,Uncapped,Unsold
Glenn Phillips,Retained,Nan,0.0,0.0,Uncapped,Unsold
Heinrich Klaasen,Retained,Nan,0.0,0.0,Uncapped,Unsold
Mayank Agarwal,Retained,Nan,0.0,0.0,Uncapped,Unsold
Anmolpreet Singh,Retained,Nan,0.0,0.0,Uncapped,Unsold
Upendra Singh Yadav,Retained,Nan,0.0,0.0,Uncapped,Unsold
Nitish Kumar Reddy,Retained,Nan,0.0,0.0,Uncapped,Unsold
Abhishek Sharma,Retained,Nan,0.0,0.0,Uncapped,Unsold
Marco Jansen,Retained,Nan,0.0,0.0,Uncapped,Unsold
Washington Sundar,Retained,Nan,0.0,0.0,Uncapped,Unsold
Sanvir Singh,Retained,Nan,0.0,0.0,Uncapped,Unsold
Bhuvneshwar Kumar,Retained,Nan,0.0,0.0,Uncapped,Unsold
T Natarajan,Retained,Nan,0.0,0.0,Uncapped,Unsold
Mayank Markande,Retained,Nan,0.0,0.0,Uncapped,Unsold
Umran Malik,Retained,Nan,0.0,0.0,Uncapped,Unsold
Fazalhaq Farooqi,Retained,Nan,0.0,0.0,Uncapped,Unsold
Nitish Rana,Retained,Nan,0.0,0.0,Uncapped,Unsold
Rinku Singh,Retained,Nan,0.0,0.0,Uncapped,Unsold
Rahmanullah Gurbaz,Retained,Nan,0.0,0.0,Uncapped,Unsold
Shreyas Iyer,Retained,Nan,0.0,0.0,Uncapped,Unsold
Jason Roy,Retained,Nan,0.0,0.0,Uncapped,Unsold
Sunil Narine,Retained,Nan,0.0,0.0,Uncapped,Unsold
Suyash Sharma,Retained,Nan,0.0,0.0,Uncapped,Unsold
Anukul Roy,Retained,Nan,0.0,0.0,Uncapped,Unsold
Andre Russell,Retained,Nan,0.0,0.0,Uncapped,Unsold
Venkatesh Iyer,Retained,Nan,0.0,0.0,Uncapped,Unsold
Harshit Rana,Retained,Nan,0.0,0.0,Uncapped,Unsold
Vaibhav Arora,Retained,Nan,0.0,0.0,Uncapped,Unsold
Varun Chakaravarthy,Retained,Nan,0.0,0.0,Uncapped,Unsold
Shikhar Dhawan,Retained,Nan,0.0,0.0,Uncapped,Unsold
Liam Livingstone,Retained,Nan,0.0,0.0,Uncapped,Unsold
Jonny Bairstow,Retained,Nan,0.0,0.0,Uncapped,Unsold
Gurnoor Singh Brar,Retained,Nan,0.0,0.0,Uncapped,Unsold
Jitesh Sharma,Retained,Nan,0.0,0.0,Uncapped,Unsold
Shivam Singh,Retained,Nan,0.0,0.0,Uncapped,Unsold
Rahul Chahar,Retained,Nan,0.0,0.0,Uncapped,Unsold
Prabhsimran Singh,Retained,Nan,0.0,0.0,Uncapped,Unsold
Matthew Short,Retained,Nan,0.0,0.0,Uncapped,Unsold
Arshdeep Singh,Retained,Nan,0.0,0.0,Uncapped,Unsold
Harpreet Bhatia,Retained,Nan,0.0,0.0,Uncapped,Unsold
Harpreet Brar,Retained,Nan,0.0,0.0,Uncapped,Unsold
Atharva Taide,Retained,Nan,0.0,0.0,Uncapped,Unsold
Vidwath Kaverappa,Retained,Nan,0.0,0.0,Uncapped,Unsold
Rishi Dhawan,Retained,Nan,0.0,0.0,Uncapped,Unsold
Kagiso Rabada,Retained,Nan,0.0,0.0,Uncapped,Unsold
Sam Curran,Retained,Nan,0.0,0.0,Uncapped,Unsold
Nathan Ellis,Retained,Nan,0.0,0.0,Uncapped,Unsold
Sikandar Raza,Retained,Nan,0.0,0.0,Uncapped,Unsold
Sanju Samson,Retained,Nan,0.0,0.0,Uncapped,Unsold
Jos Buttler,Retained,Nan,0.0,0.0,Uncapped,Unsold
Shimron Hetmyer,Retained,Nan,0.0,0.0,Uncapped,Unsold
Yashasvi Jaiswal,Retained,Nan,0.0,0.0,Uncapped,Unsold
Dhruv Jurel,Retained,Nan,0.0,0.0,Uncapped,Unsold
Riyan Parag,Retained,Nan,0.0,0.0,Uncapped,Unsold
Donovan Ferreira,Retained,Nan,0.0,0.0,Uncapped,Unsold
Kunal Rathore,Retained,Nan,0.0,0.0,Uncapped,Unsold
Ravichandran Ashwin,Retained,Nan,0.0,0.0,Uncapped,Unsold
Kuldeep Sen,Retained,Nan,0.0,0.0,Uncapped,Unsold
Navdeep Saini,Retained,Nan,0.0,0.0,Uncapped,Unsold
Prasidh Krishna,Retained,Nan,0.0,0.0,Uncapped,Unsold
Sandeep Sharma,Retained,Nan,0.0,0.0,Uncapped,Unsold
Trent Boult,Retained,Nan,0.0,0.0,Uncapped,Unsold
Yuzvendra Chahal,Retained,Nan,0.0,0.0,Uncapped,Unsold
Adam Zampa,Retained,Nan,0.0,0.0,Uncapped,Unsold
Rishabh Pant,Retained,Nan,0.0,0.0,Uncapped,Unsold
Pravin Dubey,Retained,Nan,0.0,0.0,Uncapped,Unsold
David Warner,Retained,Nan,0.0,0.0,Uncapped,Unsold
Vicky Ostwal,Retained,Nan,0.0,0.0,Uncapped,Unsold
Prithvi Shaw,Retained,Nan,0.0,0.0,Uncapped,Unsold
Anrich Nortje,Retained,Nan,0.0,0.0,Uncapped,Unsold
Abishek Porel,Retained,Nan,0.0,0.0,Uncapped,Unsold
Kuldeep Yadav,Retained,Nan,0.0,0.0,Uncapped,Unsold
Axar Patel,Retained,Nan,0.0,0.0,Uncapped,Unsold
Lungi Ngidi,Retained,Nan,0.0,0.0,Uncapped,Unsold
Lalit Yadav,Retained,Nan,0.0,0.0,Uncapped,Unsold
Khaleel Ahmed,Retained,Nan,0.0,0.0,Uncapped,Unsold
Mitchell Marsh,Retained,Nan,0.0,0.0,Uncapped,Unsold
Ishant Sharma,Retained,Nan,0.0,0.0,Uncapped,Unsold
Yash Dhull,Retained,Nan,0.0,0.0,Uncapped,Unsold
Mukesh Kumar,Retained,Nan,0.0,0.0,Uncapped,Unsold
MS Dhoni,Retained,Nan,0.0,0.0,Uncapped,Unsold
Moeen Ali,Retained,Nan,0.0,0.0,Uncapped,Unsold
Deepak Chahar,Retained,Nan,0.0,0.0,Uncapped,Unsold
Devon Conway,Retained,Nan,0.0,0.0,Uncapped,Unsold
Tushar Deshpande,Retained,Nan,0.0,0.0,Uncapped,Unsold
Shivam Dube,Retained,Nan,0.0,0.0,Uncapped,Unsold
Ruturaj Gaikwad,Retained,Nan,0.0,0.0,Uncapped,Unsold
Rajvardhan Hangargekar,Retained,Nan,0.0,0.0,Uncapped,Unsold
Ravindra Jadeja,Retained,Nan,0.0,0.0,Uncapped,Unsold
Ajay Mandal,Retained,Nan,0.0,0.0,Uncapped,Unsold
Mukesh Choudhary,Retained,Nan,0.0,0.0,Uncapped,Unsold
Matheesha Pathirana,Retained,Nan,0.0,0.0,Uncapped,Unsold
Ajinkya Rahane,Retained,Nan,0.0,0.0,Uncapped,Unsold
Shaik Rasheed,Retained,Nan,0.0,0.0,Uncapped,Unsold
Mitchell Santner,Retained,Nan,0.0,0.0,Uncapped,Unsold
Simarjeet Singh,Retained,Nan,0.0,0.0,Uncapped,Unsold
Nishant Sindhu,Retained,Nan,0.0,0.0,Uncapped,Unsold
Prashant Solanki,Retained,Nan,0.0,0.0,Uncapped,Unsold
Maheesh Theekshana,Retained,Nan,0.0,0.0,Uncapped,Unsold
